"","gene_id","gene_symbol","number_of_mirs_targeting","TF","gene_fxn_pigm","kd_pt_fA6"
"","34462","CG17098",23,NA,NA,NA
"","35786","Socs44A",22,NA,NA,NA
"","42799","nau",9,NA,NA,NA
"","36050","mRpL42",7,NA,NA,NA
"","36418","CG3814",8,NA,NA,NA
"","33726","vkg",15,NA,NA,NA
"","39161","CG8108",13,NA,NA,NA
"","34903","esg",29,NA,NA,NA
"","35774","sut1",18,NA,NA,NA
"","42749","EloA",22,NA,NA,NA
"","40834","ftz",15,NA,NA,NA
"","47854","Mst98Ca",9,NA,NA,NA
"","43517","ncd",20,NA,NA,NA
"","31463","SPR",24,NA,NA,NA
"","40264","CG5910",23,NA,NA,NA
"","41656","yrt",47,NA,NA,NA
"","38047","miple",38,NA,NA,NA
"","32926","out",21,NA,NA,NA
"","42265","endoA",44,NA,NA,NA
"","34961","heix",41,NA,NA,NA
"","39165","CalpB",24,NA,NA,NA
"","46717","arg",16,NA,NA,NA
"","53522","lectin-46Cb",8,NA,NA,NA
"","32241","CG4404",29,NA,NA,NA
"","44855","rib",35,NA,NA,NA
"","33435","oaf",34,NA,NA,NA
"","41204","CG12945",41,NA,NA,NA
"","32239","CG32649",9,NA,NA,NA
"","31217","CG2865",5,NA,NA,NA
"","40111","Chd3",22,NA,NA,NA
"","32459","dah",20,NA,NA,NA
"","39053","CG4641",18,NA,NA,NA
"","44900","CG42569",12,NA,NA,NA
"","40361","CG7324",29,NA,NA,NA
"","37126","CG30116",30,NA,NA,NA
"","43428","Pkc98E",37,NA,NA,NA
"","43100","CG5039",11,NA,NA,NA
"","39460","CG11009",14,NA,NA,NA
"","3772569","CG32269",18,NA,NA,NA
"","35953","CG1968",13,NA,NA,NA
"","41311","Fdh",6,NA,NA,NA
"","42305","cry",10,NA,NA,NA
"","37033","fab1",16,NA,NA,NA
"","3772670","bbx",44,NA,NA,NA
"","42145","CG7357",10,NA,NA,NA
"","35047","dl",49,NA,NA,NA
"","42320","CG3739",10,NA,NA,NA
"","35768","CG14762",23,NA,NA,NA
"","35756","nito",49,NA,NA,NA
"","42734","Rassf",30,NA,NA,NA
"","39301","CG7368",35,NA,NA,NA
"","34471","CG17108",11,NA,NA,NA
"","42738","unk",53,NA,NA,NA
"","39004","Fhos",23,NA,NA,NA
"","35922","Vang",46,NA,NA,NA
"","33844","CG9109",22,NA,NA,NA
"","43715","CG12063",26,NA,NA,NA
"","37307","CG16739",7,NA,NA,NA
"","42362","CG4562",30,NA,NA,NA
"","40975","ato",15,"y","B","L"
"","34582","kek2",32,NA,NA,NA
"","32676","CG4872",8,NA,NA,NA
"","43683","stops",20,NA,NA,NA
"","44111","slpr",18,NA,NA,NA
"","43997","jbug",34,NA,NA,NA
"","31726","CG2254",15,NA,NA,NA
"","34870","CG3491",11,NA,NA,NA
"","34751","loqs",34,NA,NA,NA
"","38718","D19A",30,NA,NA,NA
"","50149","CG30158",39,NA,NA,NA
"","38190","CG12105",22,NA,NA,NA
"","35440","CG3651",9,NA,NA,NA
"","317913","CG32204",46,NA,NA,NA
"","40726","glob3",11,NA,NA,NA
"","34686","MRP",22,NA,NA,NA
"","41140","Ras85D",51,NA,NA,NA
"","38846","lqf",40,NA,NA,NA
"","39091","Nf-YA",16,NA,NA,NA
"","31339","ec",37,NA,NA,NA
"","31000","elav",32,NA,NA,NA
"","41930","glob1",15,NA,NA,NA
"","318600","Wsck",11,NA,NA,NA
"","41883","Atx2",36,NA,NA,NA
"","45588","Pdp1",39,NA,NA,NA
"","31521","Act5C",33,NA,NA,NA
"","41117","CG8129",13,NA,NA,NA
"","33692","Cf2",32,NA,NA,NA
"","34192","Sema-1a",53,NA,NA,NA
"","32703","baz",20,NA,NA,NA
"","42742","Ir",32,NA,NA,NA
"","38596","CG10671",15,NA,NA,NA
"","33350","CG18317",7,NA,NA,NA
"","39841","Mipp1",15,NA,NA,NA
"","42508","CG7009",3,NA,NA,NA
"","33386","GlyP",17,NA,NA,NA
"","44006","Fad2",13,NA,NA,NA
"","3354890","CG40498",16,NA,NA,NA
"","43825","sv",44,NA,NA,NA
"","39831","CG32159",39,NA,NA,NA
"","48552","M(2)21AB",27,NA,NA,NA
"","31656","CG4615",21,NA,NA,NA
"","34032","Rapgap1",37,NA,NA,NA
"","34127","Pvr",26,NA,NA,NA
"","44653","wech",38,NA,NA,NA
"","45320","trol",14,NA,NA,NA
"","43130","Lnk",40,NA,NA,NA
"","38395","CG14967",14,NA,NA,NA
"","38007","CG16778",41,NA,NA,NA
"","35111","CG10413",33,NA,NA,NA
"","31262","fs(1)Yb",14,NA,NA,NA
"","318843","CG31607",20,NA,NA,NA
"","31023","fz3",11,NA,NA,NA
"","40323","CG10585",7,NA,NA,NA
"","34065","Herp",26,NA,NA,NA
"","37679","CG34371",28,NA,NA,NA
"","44097","sns",30,NA,NA,NA
"","2769006","CG33234",17,NA,NA,NA
"","319023","CG31913",5,NA,NA,NA
"","33954","CG17377",16,NA,NA,NA
"","35306","rtGEF",19,NA,NA,NA
"","37288","Ate1",19,NA,NA,NA
"","35785","coilin",8,NA,NA,NA
"","38372","prominin-like",17,NA,NA,NA
"","37310","CG12484",52,NA,NA,NA
"","34618","Tom70",8,NA,NA,NA
"","34141","CG7795",15,NA,NA,NA
"","38015","Lsp1gamma",14,NA,NA,NA
"","36135","CG7637",7,NA,NA,NA
"","32747","CG12990",21,NA,NA,NA
"","53437","Sulf1",24,NA,NA,NA
"","43222","Tl",41,NA,NA,NA
"","42934","atl",19,NA,NA,NA
"","34594","Pde1c",38,NA,NA,NA
"","35359","CG9339",57,NA,NA,NA
"","34435","CG6232",19,NA,NA,NA
"","42127","alt",42,NA,NA,NA
"","8674000","CG42542",23,NA,NA,NA
"","36311","wash",13,NA,NA,NA
"","32741","CG8289",13,NA,NA,NA
"","43991","Pten",26,NA,NA,NA
"","38562","CG42540",30,NA,NA,NA
"","41798","Rrp6",14,NA,NA,NA
"","36011","CG1623",20,NA,NA,NA
"","34045","TepIII",7,NA,NA,NA
"","33753","tkv",26,NA,NA,NA
"","31061","CG11384",19,NA,NA,NA
"","35738","Dgk",15,NA,NA,NA
"","36015","CG1599",8,NA,NA,NA
"","40672","CG12746",2,NA,NA,NA
"","41118","Fps85D",37,NA,NA,NA
"","39569","Sox21b",36,NA,NA,NA
"","38464","CG14982",16,NA,NA,NA
"","39850","spd-2",11,NA,NA,NA
"","39493","caps",49,NA,NA,NA
"","41944","srp",45,NA,NA,NA
"","39159","CG10809",22,NA,NA,NA
"","35758","CG8726",31,NA,NA,NA
"","53556","dbo",38,NA,NA,NA
"","42690","CG4813",15,NA,NA,NA
"","35583","phtf",21,NA,NA,NA
"","318698","CG31360",16,NA,NA,NA
"","40280","CG5104",32,NA,NA,NA
"","38898","Arp66B",26,NA,NA,NA
"","59227","CG17376",7,NA,NA,NA
"","38355","CG2107",11,NA,NA,NA
"","33977","Atac1",15,NA,NA,NA
"","31717","sn",22,NA,NA,NA
"","33258","CG3876",23,NA,NA,NA
"","38887","HP4",10,NA,NA,NA
"","39104","pall",21,NA,NA,NA
"","31189","CG3630",22,NA,NA,NA
"","32872","bnb",18,NA,NA,NA
"","44001","Sucb",18,"n","D","L"
"","43974","trio",50,NA,NA,NA
"","41020","Mkk4",30,NA,NA,NA
"","43256","spz",9,NA,NA,NA
"","32722","CG5445",14,NA,NA,NA
"","36136","mms4",16,NA,NA,NA
"","31200","msta",13,NA,NA,NA
"","40830","bcd",31,NA,NA,NA
"","42821","Pli",29,NA,NA,NA
"","36125","stan",34,NA,NA,NA
"","47767","crc",21,NA,NA,NA
"","37281","CG11044",17,NA,NA,NA
"","37990","CG15861",10,NA,NA,NA
"","37521","Vrp1",33,NA,NA,NA
"","34702","CG5142",6,NA,NA,NA
"","36082","CG12910",7,NA,NA,NA
"","31840","Bx42",5,NA,NA,NA
"","50161","CG12483",15,NA,NA,NA
"","39204","CG8009",13,NA,NA,NA
"","38516","ago",39,NA,NA,NA
"","42634","mats",6,NA,NA,NA
"","42537","bap",7,NA,NA,NA
"","31594","APC7",9,NA,NA,NA
"","34819","rk",35,NA,NA,NA
"","39366","Pop2",31,NA,NA,NA
"","42371","RhoGAP92B",36,NA,NA,NA
"","31429","ovo",21,NA,NA,NA
"","35737","CG12822",14,NA,NA,NA
"","38153","Myo61F",15,NA,NA,NA
"","40056","CG3961",32,NA,NA,NA
"","33496","lilli",42,NA,NA,NA
"","33675","CG15631",6,NA,NA,NA
"","36173","Syx7",25,NA,NA,NA
"","40610","UbcD6",33,NA,NA,NA
"","33639","CG17612",15,NA,NA,NA
"","33923","CG11319",33,NA,NA,NA
"","31211","CG3078",22,NA,NA,NA
"","36239","inv",17,NA,NA,NA
"","40461","CG11489",55,NA,NA,NA
"","33714","CG14043",5,NA,NA,NA
"","36473","CG42319",43,NA,NA,NA
"","42896","crb",23,NA,NA,NA
"","32225","Smr",16,NA,NA,NA
"","42672","loco",15,"n","L","D"
"","33636","Atet",33,NA,NA,NA
"","36541","CG13344",36,NA,NA,NA
"","33648","morgue",5,NA,NA,NA
"","34833","CG15287",3,NA,NA,NA
"","38541","Syx17",15,NA,NA,NA
"","40650","Or83b",9,NA,NA,NA
"","32551","CycD",30,NA,NA,NA
"","40933","CG2943",10,NA,NA,NA
"","38391","gry",9,NA,NA,NA
"","36025","sec24",30,NA,NA,NA
"","31444","dhd",8,NA,NA,NA
"","45910","ort",16,NA,NA,NA
"","36876","unc-104",34,NA,NA,NA
"","40073","CG18135",22,NA,NA,NA
"","42203","PKD",19,NA,NA,NA
"","41903","CG12784",4,NA,NA,NA
"","37149","edl",9,NA,NA,NA
"","38175","Psa",22,NA,NA,NA
"","36577","CG8468",30,NA,NA,NA
"","36915","RhoGEF2",32,NA,NA,NA
"","34162","Acp29AB",6,NA,NA,NA
"","38174","cue",20,NA,NA,NA
"","43765","Map205",27,NA,NA,NA
"","41651","yellow-e3",4,NA,NA,NA
"","39765","Taf4",41,NA,NA,NA
"","32419","CG9512",8,NA,NA,NA
"","35013","CG13272",21,NA,NA,NA
"","246587","CG30392",24,NA,NA,NA
"","42866","Mpk2",14,NA,NA,NA
"","38588","CG13704",11,NA,NA,NA
"","36673","CG12424",34,NA,NA,NA
"","34573","CG6509",28,NA,NA,NA
"","42087","Brf",17,NA,NA,NA
"","40105","CG32206",41,NA,NA,NA
"","39772","CG5151",34,NA,NA,NA
"","43389","CG14062",6,NA,NA,NA
"","38301","CG8993",6,NA,NA,NA
"","41105","sage",22,NA,NA,NA
"","43875","Ret",19,NA,NA,NA
"","32209","Sec16",20,NA,NA,NA
"","38752","vvl",29,"y","D","L"
"","42743","cnc",39,NA,NA,NA
"","31332","Rala",41,NA,NA,NA
"","41809","CG3837",24,NA,NA,NA
"","45879","ImpE1",33,NA,NA,NA
"","326186","scramb1",25,NA,NA,NA
"","34403","CG5366",14,NA,NA,NA
"","32005","CG32676",27,NA,NA,NA
"","31865","Gr8a",7,NA,NA,NA
"","34237","CG32982",17,NA,NA,NA
"","32969","Arp11",9,NA,NA,NA
"","43820","Kif3C",40,NA,NA,NA
"","35577","Rab2",36,NA,NA,NA
"","31290","rst",33,NA,NA,NA
"","40643","CG14667",15,NA,NA,NA
"","41337","CG18577",17,NA,NA,NA
"","39530","CG8745",25,NA,NA,NA
"","41248","Timp",26,NA,NA,NA
"","39594","RecQ5",38,NA,NA,NA
"","42429","att-ORFA",25,NA,NA,NA
"","32196","CG42258",37,NA,NA,NA
"","33354","CG17646",7,NA,NA,NA
"","3772574","Fuca",39,NA,NA,NA
"","35709","CG12042",8,NA,NA,NA
"","41019","Cyp313b1",10,NA,NA,NA
"","39038","Doc2",10,NA,NA,NA
"","40295","CG11399",35,NA,NA,NA
"","44391","Nnp-1",26,NA,NA,NA
"","32665","Rrp45",7,NA,NA,NA
"","43611","CG2218",13,NA,NA,NA
"","36810","Khc",23,NA,NA,NA
"","42839","CG5902",25,NA,NA,NA
"","36586","CG8547",19,NA,NA,NA
"","38665","CG13288",24,NA,NA,NA
"","261629","CG31352",16,NA,NA,NA
"","35974","Camta",24,NA,NA,NA
"","35595","CG15236",24,NA,NA,NA
"","32531","Rhp",10,NA,NA,NA
"","37141","Atg7",18,NA,NA,NA
"","33904","CG9536",19,NA,NA,NA
"","39537","CG32137",38,NA,NA,NA
"","38151","CG9153",6,NA,NA,NA
"","36455","CG4616",19,NA,NA,NA
"","44573","MAPk-Ak2",19,NA,NA,NA
"","33356","CG17712",15,NA,NA,NA
"","36456","AQP",17,NA,NA,NA
"","35955","Drep-2",35,NA,NA,NA
"","39069","CG4452",19,NA,NA,NA
"","44432","ird5",12,NA,NA,NA
"","38760","sgl",18,NA,NA,NA
"","36174","CG7737",17,NA,NA,NA
"","318259","CG32937",27,NA,NA,NA
"","318102","drd",17,NA,NA,NA
"","40701","Rab23",33,NA,NA,NA
"","33748","Cyp28d2",7,NA,NA,NA
"","31376","norpA",23,NA,NA,NA
"","37470","CG9865",38,NA,NA,NA
"","43618","CDase",12,NA,NA,NA
"","38011","CG9380",11,NA,NA,NA
"","40875","Gld",27,NA,NA,NA
"","43311","CG5646",13,NA,NA,NA
"","317889","CG32160",30,NA,NA,NA
"","36044","CG12129",9,NA,NA,NA
"","34947","beat-Ia",32,NA,NA,NA
"","43316","CG5612",3,NA,NA,NA
"","41373","CG5276",12,NA,NA,NA
"","42285","Prp18",10,NA,NA,NA
"","32715","CG8915",19,NA,NA,NA
"","39744","brm",13,"y","D","N"
"","33526","toc",31,NA,NA,NA
"","40787","CG1041",7,NA,NA,NA
"","42423","CG4323",4,NA,NA,NA
"","41973","Mat89Ba",5,NA,NA,NA
"","31458","CG4165",15,NA,NA,NA
"","41982","CG14879",22,NA,NA,NA
"","40940","dsx",56,"y","B","D"
"","39265","CG6199",17,NA,NA,NA
"","37864","tamo",23,NA,NA,NA
"","32489","CG15643",31,NA,NA,NA
"","39873","Nrt",32,NA,NA,NA
"","36846","Sema-2a",29,NA,NA,NA
"","32256","hep",55,NA,NA,NA
"","44128","CG34441",45,NA,NA,NA
"","32141","CG10347",15,NA,NA,NA
"","33096","CG14579",8,NA,NA,NA
"","31678","CHES-1-like",26,NA,NA,NA
"","39453","CG17667",19,NA,NA,NA
"","36111","CG17765",13,NA,NA,NA
"","34803","cenG1A",37,NA,NA,NA
"","35480","Atf6",15,NA,NA,NA
"","33392","aop",37,NA,NA,NA
"","42576","CG6656",5,NA,NA,NA
"","37239","CG7744",18,NA,NA,NA
"","32918","Hs3st-B",21,NA,NA,NA
"","3354888","rl",12,NA,NA,NA
"","47718","CG17829",15,NA,NA,NA
"","39675","Eip71CD",15,NA,NA,NA
"","33172","Gs1",28,NA,NA,NA
"","34502","CG17086",9,NA,NA,NA
"","45655","dom",41,NA,NA,NA
"","42093","Sur-8",39,NA,NA,NA
"","34153","CG17293",7,NA,NA,NA
"","5740303","CG34386",6,NA,NA,NA
"","32211","CG1463",34,NA,NA,NA
"","36681","igl",38,NA,NA,NA
"","33889","CG9505",3,NA,NA,NA
"","36244","CG9003",17,NA,NA,NA
"","36800","Tsf3",8,NA,NA,NA
"","38504","tipE",41,NA,NA,NA
"","38055","CG32343",12,NA,NA,NA
"","42752","orb",41,NA,NA,NA
"","43149","Nf1",32,NA,NA,NA
"","44392","Rpp30",5,NA,NA,NA
"","32075","CG1738",6,NA,NA,NA
"","42659","CG33110",17,NA,NA,NA
"","39961","CycT",6,NA,NA,NA
"","31397","HLH4C",16,NA,NA,NA
"","35193","l(2)37Cd",12,NA,NA,NA
"","36536","CG6543",7,NA,NA,NA
"","50075","CG14545",16,NA,NA,NA
"","2768853","mei-W68",23,NA,NA,NA
"","41399","CG10535",5,NA,NA,NA
"","35034","CG12620",10,NA,NA,NA
"","31647","cm",10,NA,NA,NA
"","326265","CG33160",4,NA,NA,NA
"","38961","Cbl",50,NA,NA,NA
"","36064","gem",27,NA,NA,NA
"","35948","Cyp4p3",5,NA,NA,NA
"","43234","ro",9,NA,NA,NA
"","32988","CG14234",23,NA,NA,NA
"","38367","CG32486",27,NA,NA,NA
"","36351","Cpr49Ae",23,NA,NA,NA
"","33237","CG2813",16,NA,NA,NA
"","34440","RluA-2",6,NA,NA,NA
"","43751","Acf1",13,NA,NA,NA
"","192509","CG12084",12,NA,NA,NA
"","39683","AGO2",10,NA,NA,NA
"","32694","CG16700",27,NA,NA,NA
"","34049","CG13795",14,NA,NA,NA
"","39013","dally",29,"n","D","L"
"","36331","CG8850",8,NA,NA,NA
"","41190","Rpt3R",10,NA,NA,NA
"","38352","Shab",22,NA,NA,NA
"","42943","CG13630",3,NA,NA,NA
"","42523","ETHR",38,NA,NA,NA
"","33212","ebi",31,NA,NA,NA
"","36664","Cyp6a20",15,NA,NA,NA
"","38701","l(3)mbn",27,NA,NA,NA
"","39094","CG3448",12,NA,NA,NA
"","41304","CG6567",29,NA,NA,NA
"","53425","Alk",40,NA,NA,NA
"","33995","Pvf3",23,NA,NA,NA
"","43809","Slip1",9,NA,NA,NA
"","36676","CG10265",15,NA,NA,NA
"","39620","Brd",11,NA,NA,NA
"","42638","CG34376",31,NA,NA,NA
"","42745","fzo",14,NA,NA,NA
"","45339","net",34,NA,NA,NA
"","34431","CG5337",30,NA,NA,NA
"","37368","Act57B",24,NA,NA,NA
"","41847","CG4334",18,NA,NA,NA
"","35822","Cyp4e2",12,NA,NA,NA
"","40297","Six4",10,NA,NA,NA
"","34772","kuz",42,NA,NA,NA
"","32928","gfA",32,NA,NA,NA
"","43159","m6",19,NA,NA,NA
"","42587","CG6455",20,NA,NA,NA
"","44317","CanB",16,NA,NA,NA
"","317817","CG32006",14,NA,NA,NA
"","43746","CG2135",5,NA,NA,NA
"","43516","CG7789",12,NA,NA,NA
"","32279","CG15743",7,NA,NA,NA
"","34430","TfIIB",20,NA,NA,NA
"","250735","fdl",34,NA,NA,NA
"","36526","stj",26,NA,NA,NA
"","31839","CG7766",23,NA,NA,NA
"","38628","bc10",19,NA,NA,NA
"","31229","boi",29,NA,NA,NA
"","44149","Acon",24,NA,NA,NA
"","33349","frtz",23,NA,NA,NA
"","36723","CG8192",10,NA,NA,NA
"","33684","CG15626",11,NA,NA,NA
"","39066","CG34455",15,NA,NA,NA
"","32322","Lig4",17,NA,NA,NA
"","34176","fu12",18,NA,NA,NA
"","36590","CG8589",8,NA,NA,NA
"","43484","DopR2",35,NA,NA,NA
"","32498","sog",18,NA,NA,NA
"","41738","CG12207",23,NA,NA,NA
"","47762","FKBP59",9,NA,NA,NA
"","40370","Aef1",36,NA,NA,NA
"","39034","smg",29,NA,NA,NA
"","41990","CG14881",11,NA,NA,NA
"","31127","a6",16,NA,NA,NA
"","39742","CG17027",21,NA,NA,NA
"","31776","CG1440",7,NA,NA,NA
"","37641","nahoda",30,NA,NA,NA
"","43673","dco",31,NA,NA,NA
"","43425","beta4GalNAcTB",10,NA,NA,NA
"","42210","gl",38,NA,NA,NA
"","32302","CG34324",14,NA,NA,NA
"","37167","CG15080",23,NA,NA,NA
"","43758","RhoGAP100F",50,NA,NA,NA
"","32100","RpII215",19,NA,NA,NA
"","33466","CG3077",19,NA,NA,NA
"","42295","Ppcs",35,NA,NA,NA
"","39933","Mip",29,NA,NA,NA
"","318693","CG31347",1,NA,NA,NA
"","32561","mmd",20,NA,NA,NA
"","37923","CG11414",12,NA,NA,NA
"","34438","RluA-1",24,NA,NA,NA
"","2768916","CG33303",36,NA,NA,NA
"","32482","CG6340",28,NA,NA,NA
"","40285","knrl",23,NA,NA,NA
"","31124","b6",2,NA,NA,NA
"","39214","CG6463",7,NA,NA,NA
"","38428","CycJ",23,NA,NA,NA
"","39367","CG6928",14,NA,NA,NA
"","40368","rgn",33,NA,NA,NA
"","43392","htt",23,NA,NA,NA
"","38936","CG7188",16,NA,NA,NA
"","36918","CG9646",12,NA,NA,NA
"","38169","stet",28,NA,NA,NA
"","42982","CG11120",6,NA,NA,NA
"","318938","CG31782",25,NA,NA,NA
"","2768996","CG33229",27,NA,NA,NA
"","43755","CG1971",19,NA,NA,NA
"","35305","La",7,NA,NA,NA
"","35031","beat-IIIb",25,NA,NA,NA
"","3355127","CG17494",15,NA,NA,NA
"","40080","CG6812",17,NA,NA,NA
"","31072","CG11403",10,NA,NA,NA
"","47457","ytr",45,NA,NA,NA
"","35501","l(2)NC136",29,NA,NA,NA
"","32739","CG8316",23,NA,NA,NA
"","38818","pst",5,NA,NA,NA
"","37932","CG3548",40,NA,NA,NA
"","38063","CG1233",20,NA,NA,NA
"","39271","CG6175",28,NA,NA,NA
"","35354","CG14400",10,NA,NA,NA
"","43164","CG14542",24,NA,NA,NA
"","32835","CG15043",15,NA,NA,NA
"","31363","CG4857",22,NA,NA,NA
"","42804","CG10225",21,NA,NA,NA
"","41791","CG14857",12,NA,NA,NA
"","38326","Pxn",34,NA,NA,NA
"","3346141","CG33521",27,NA,NA,NA
"","40403","MED1",15,NA,NA,NA
"","32230","CG3812",13,NA,NA,NA
"","38144","CG9139",11,NA,NA,NA
"","33284","CG4629",18,NA,NA,NA
"","36713","CG8180",6,NA,NA,NA
"","37882","nord",15,NA,NA,NA
"","35289","vls",5,NA,NA,NA
"","33493","Prx6005",13,NA,NA,NA
"","37422","CG18375",23,NA,NA,NA
"","36863","Amyrel",7,NA,NA,NA
"","53560","cic",23,NA,NA,NA
"","41163","CG8312",26,NA,NA,NA
"","43182","CG12290",13,NA,NA,NA
"","36964","CG14478",23,NA,NA,NA
"","34143","CG7781",42,NA,NA,NA
"","36511","CG13335",19,NA,NA,NA
"","37203","hppy",36,NA,NA,NA
"","31944","CG2974",19,NA,NA,NA
"","34593","CG14939",34,NA,NA,NA
"","42124","CG14322",5,NA,NA,NA
"","37437","CG30394",11,NA,NA,NA
"","45278","csw",35,NA,NA,NA
"","50457","CG34168",5,NA,NA,NA
"","38430","CG42324",19,NA,NA,NA
"","4379911","CG17672",21,NA,NA,NA
"","41790","CG14856",15,NA,NA,NA
"","249072","Liprin-alpha",34,NA,NA,NA
"","37668","CG9876",22,NA,NA,NA
"","34503","Dnz1",19,NA,NA,NA
"","50133","CG13551",7,NA,NA,NA
"","44098","rasp",18,NA,NA,NA
"","36485","CG4744",12,NA,NA,NA
"","42913","CG17781",25,NA,NA,NA
"","41797","CG3631",18,NA,NA,NA
"","34284","Pka-C1",27,NA,NA,NA
"","34345","CG13135",6,NA,NA,NA
"","43822","CG11155",40,NA,NA,NA
"","36959","EDTP",23,NA,NA,NA
"","3355124","RpL5",8,NA,NA,NA
"","32328","CG9940",38,NA,NA,NA
"","39083","CG3689",38,NA,NA,NA
"","33668","CG11929",13,NA,NA,NA
"","36897","inaC",8,NA,NA,NA
"","33083","bves",38,NA,NA,NA
"","36706","SRPK",30,NA,NA,NA
"","40259","Las",19,NA,NA,NA
"","246408","CG30036",9,NA,NA,NA
"","35332","Hr38",46,"y","D","L"
"","41494","CG10013",10,NA,NA,NA
"","53567","larp",39,NA,NA,NA
"","37295","CG11788",5,NA,NA,NA
"","33752","TpnC25D",14,NA,NA,NA
"","36651","NaPi-T",21,NA,NA,NA
"","42388","CG4433",20,NA,NA,NA
"","31731","CG1575",8,NA,NA,NA
"","317924","CG32221",24,NA,NA,NA
"","2768948","CG33275",26,NA,NA,NA
"","37013","CG10934",11,NA,NA,NA
"","39459","CG10948",48,NA,NA,NA
"","34223","CG9555",20,NA,NA,NA
"","36538","tum",11,NA,NA,NA
"","37261","isopeptidase-T-3",35,NA,NA,NA
"","33859","Kr-h2",19,NA,NA,NA
"","37851","yki",19,NA,NA,NA
"","39051","Use1",6,NA,NA,NA
"","32898","RhoGAP18B",42,NA,NA,NA
"","43796","Thd1",28,NA,NA,NA
"","31335","CG2947",27,NA,NA,NA
"","36682","CG8090",14,NA,NA,NA
"","36905","Cbp53E",37,NA,NA,NA
"","42984","CG11771",24,NA,NA,NA
"","37476","Tbp",3,NA,NA,NA
"","34835","CG33090",23,NA,NA,NA
"","32436","dob",20,NA,NA,NA
"","45280","cv-2",30,NA,NA,NA
"","42842","LSm3",17,NA,NA,NA
"","34109","CG8552",18,NA,NA,NA
"","8674024","CG42558",9,NA,NA,NA
"","34658","Elf",23,NA,NA,NA
"","39527","bru-3",10,NA,NA,NA
"","33245","ds",25,NA,NA,NA
"","31792","Nrg",10,NA,NA,NA
"","33913","CG9550",1,NA,NA,NA
"","33529","Mad",29,"y","B","B"
"","32603","nonA",46,NA,NA,NA
"","246596","Tango11",19,NA,NA,NA
"","37837","Chi",33,NA,NA,NA
"","37541","CG11291",9,NA,NA,NA
"","40358","Pc",42,NA,NA,NA
"","5740407","CG34163",14,NA,NA,NA
"","32854","CG6659",15,NA,NA,NA
"","32776","CG7772",3,NA,NA,NA
"","44046","sun",23,NA,NA,NA
"","246441","CG30080",30,NA,NA,NA
"","37968","Reg-5",10,NA,NA,NA
"","43265","gb",18,NA,NA,NA
"","37423","CG30391",10,NA,NA,NA
"","32144","CG1847",12,NA,NA,NA
"","38711","CG13297",8,NA,NA,NA
"","35121","msl-1",39,NA,NA,NA
"","41357","scpr-B",4,NA,NA,NA
"","32416","CG9518",29,NA,NA,NA
"","326108","PebII",15,NA,NA,NA
"","33780","CG14015",29,NA,NA,NA
"","59150","CG18766",8,NA,NA,NA
"","39375","CG17153",13,NA,NA,NA
"","41697","ems",20,NA,NA,NA
"","43350","CG5508",20,NA,NA,NA
"","3772216","CG18431",35,NA,NA,NA
"","34967","cni",18,NA,NA,NA
"","33952","nrv1",32,NA,NA,NA
"","32079","CG11750",21,NA,NA,NA
"","40628","CG12163",14,NA,NA,NA
"","42696","HP1c",2,NA,NA,NA
"","41162","bocksbeutel",15,NA,NA,NA
"","33962","neuroligin",23,NA,NA,NA
"","43345","mRpS22",2,NA,NA,NA
"","33289","CG4552",23,NA,NA,NA
"","5740101","CG34459",5,NA,NA,NA
"","41271","CG6345",3,NA,NA,NA
"","42962","Esp",10,NA,NA,NA
"","37925","Fcp1",17,NA,NA,NA
"","36597","Arc2",6,NA,NA,NA
"","318909","CG31715",7,NA,NA,NA
"","43474","CG11501",5,NA,NA,NA
"","31210","CG3091",26,NA,NA,NA
"","32321","NFAT",29,NA,NA,NA
"","38530","CG1319",19,NA,NA,NA
"","31631","CG4558",19,NA,NA,NA
"","48632","Act87E",15,NA,NA,NA
"","36993","Dcr-2",14,NA,NA,NA
"","318211","CG32789",25,NA,NA,NA
"","36144","CG12325",15,NA,NA,NA
"","36145","CG12344",45,NA,NA,NA
"","32392","CG9411",31,NA,NA,NA
"","246538","CG33960",45,NA,NA,NA
"","41320","CG4674",18,NA,NA,NA
"","41074","CG11975",19,NA,NA,NA
"","36778","Asph",25,NA,NA,NA
"","40763","Osi9",25,NA,NA,NA
"","4379890","CG34109",7,NA,NA,NA
"","42526","CG5919",26,NA,NA,NA
"","37247","hpo",10,NA,NA,NA
"","36634","CG12858",17,NA,NA,NA
"","41034","Cks85A",9,NA,NA,NA
"","42894","CG6364",30,NA,NA,NA
"","39425","CG10681",8,NA,NA,NA
"","32214","CG15728",8,NA,NA,NA
"","40621","Prosbeta2R2",10,NA,NA,NA
"","43210","TwdlD",4,NA,NA,NA
"","40995","CG18193",9,NA,NA,NA
"","3355139","CG17883",24,NA,NA,NA
"","43679","Prosalpha3T",17,NA,NA,NA
"","33943","CG11188",5,NA,NA,NA
"","31208","crn",11,NA,NA,NA
"","35232","CG18094",6,NA,NA,NA
"","37892","mAcR-60C",33,NA,NA,NA
"","32648","spheroide",16,NA,NA,NA
"","39118","LanB2",32,NA,NA,NA
"","35357","CG9338",5,NA,NA,NA
"","42770","Irk2",9,NA,NA,NA
"","32039","sev",15,NA,NA,NA
"","34761","Tehao",33,NA,NA,NA
"","31004","CG13366",26,NA,NA,NA
